Type,Number,Company,Location,City,Province,Country,Latitude,Longitude
2,93,Cainiao,北京市昌平区北环里小区13号楼菜鸟驿站,Beijing,Beijing,China,40.232808,116.235144
2,94,Cainiao,邓庄村13号小金电脑手机维修,Beijing,Beijing,China,40.232328,116.205762
2,95,Cainiao,霍营龙跃苑四区26号楼菜鸟驿站,Beijing,Beijing,China,40.078433,116.355814
2,96,Cainiao,回龙观龙腾苑四区35号楼菜鸟驿站,Beijing,Beijing,China,40.078167,116.351229
2,97,Cainiao,北京市昌平区回龙观街道回龙观风雅园三区1号楼,Beijing,Beijing,China,40.086582,116.331933
2,98,Cainiao,李桥镇樱花园三区31号楼1门402或三区菜鸟驿站,Beijing,Beijing,China,40.035627,116.630984
2,99,Cainiao,北京市顺义区天竺镇蓝海苑5号楼,Beijing,Beijing,China,40.045761,116.603378
2,100,Cainiao,北京市通州区通瑞嘉苑21号楼,Beijing,Beijing,China,39.940178,116.694072
2,101,Cainiao,北京市通州区永顺镇永顺路44号财富东方4号楼,Beijing,Beijing,China,39.923689,116.659154
2,102,Cainiao,三间房镇金隅可乐a座菜鸟驿站,Beijing,Beijing,China,39.909218,116.582936
2,103,Cainiao,广顺北大街36号院望京西园二区203号楼2单元,Beijing,Beijing,China,40.009908,116.47901
2,104,Cainiao,北京市朝阳区望京街道南湖中园107号楼,Beijing,Beijing,China,40.008964,116.469089
2,105,Cainiao,北京市朝阳区大屯路辅路,Beijing,Beijing,China,40.008719,116.420603
2,106,Cainiao,北京市朝阳区六里屯街道八里庄北里小区317号楼,Beijing,Beijing,China,39.933361,116.506568
2,107,Cainiao,北京市朝阳区建外街道光辉南里小区3号楼,Beijing,Beijing,China,39.91195,116.48012
2,108,Cainiao,北京市朝阳区安贞街道安华西里一区4号楼,Beijing,Beijing,China,39.974501,116.404319
2,109,Cainiao,北京市通州区云景南大街62号附近,Beijing,Beijing,China,39.881409,116.665333
2,110,Cainiao,北京市通州区梨园镇九棵树通景园191号楼,Beijing,Beijing,China,39.884527,116.648516
2,111,Cainiao,梨园镇群芳园小区11号楼二单元,Beijing,Beijing,China,39.877754,116.67234
2,112,Cainiao,梨园葛布店东里9号楼413底商便民超市,Beijing,Beijing,China,39.897958,116.673544
2,113,Cainiao,北京市通州区怡乐北街蓝调沙龙12号楼211,Beijing,Beijing,China,39.893574,116.656892
2,114,Cainiao,劲松街道街道华腾园11号楼103菜鸟驿站,Beijing,Beijing,China,39.893547,116.473874
2,115,Cainiao,北京市丰台区南三环东路辅路,Beijing,Beijing,China,39.863906,116.44302
2,116,Cainiao,北京市丰台区芳群路,Beijing,Beijing,China,39.876581,116.432535
2,117,Cainiao,北京市西城区清芷园10号楼,Beijing,Beijing,China,39.879755,116.377875
2,118,Cainiao,北京市西城区陶然亭街道姚家井二巷1号楼,Beijing,Beijing,China,39.881767,116.381991
2,119,Cainiao,马家堡东路108号,Beijing,Beijing,China,39.847286,116.394932
2,120,Cainiao,远洋自然南门百福莱洗衣,Beijing,Beijing,China,39.848061,116.396006
2,121,Cainiao,瀛海镇南海家园三里北门,Beijing,Beijing,China,39.768284,116.504196
2,122,Cainiao,北京市海淀区西三旗街道永泰西里3号楼,Beijing,Beijing,China,40.038609,116.363036
2,123,Cainiao,北京市昌平区回龙观街道龙兴园中区9号楼,Beijing,Beijing,China,40.068305,116.326727
2,124,Cainiao,北京市海淀区黑山沪路甲17号附近,Beijing,Beijing,China,40.03019,116.271547
2,125,Cainiao,海淀街道大钟寺太阳园8号楼8号楼楼下菜鸟驿站,Beijing,Beijing,China,39.97708,116.348398
2,126,Cainiao,西直门北大街47号院一号楼隔壁家酒铺,Beijing,Beijing,China,39.954109,116.362319
2,127,Cainiao,中关村街道中关村东路102号金谷园1号楼菜鸟驿站,Beijing,Beijing,China,39.981285,116.341117
2,128,Cainiao,北京市海淀区常青园一区二号楼菜鸟驿站,Beijing,Beijing,China,39.961906,116.279431
2,129,Cainiao,万寿路八宝庄中区8号楼,Beijing,Beijing,China,39.928439,116.299925
2,130,Cainiao,北京市海淀区八里庄街道北洼路双紫小区甲29-2平价超市,Beijing,Beijing,China,39.94591,116.306323
2,131,Cainiao,西三环北路25号,Beijing,Beijing,China,39.938665,116.320604
2,132,Cainiao,北京市石景山区北工大北街,Beijing,Beijing,China,39.938256,116.213495
2,133,Cainiao,北京市石景山区,Beijing,Beijing,China,39.920224,116.207219
2,134,Cainiao,海特花园12号楼,Beijing,Beijing,China,39.93815,116.196839
2,135,Cainiao,苹果园街道西井一区8西井一区-1号楼菜鸟驿站,Beijing,Beijing,China,39.938486,116.202116
2,136,Cainiao,北京市石景山区鲁谷大街9附近,Beijing,Beijing,China,39.907438,116.235118
2,137,Cainiao,天宁寺前街南里8号楼,Beijing,Beijing,China,39.897303,116.350149
2,138,Cainiao,卢沟桥乡马连道高楼村高楼5号院3号楼楼下丰巢,Beijing,Beijing,China,39.878904,116.332364
2,139,Cainiao,北京市西城区广安门北街20号楼,Beijing,Beijing,China,39.897207,116.357329
2,140,Cainiao,北京市丰台区西客站南路太平桥东里18号楼菜鸟驿站,Beijing,Beijing,China,39.892078,116.328353
2,141,Cainiao,北京市丰台区近园路10号附近,Beijing,Beijing,China,39.867768,116.294098
2,142,Cainiao,靛厂路,Beijing,Beijing,China,39.895519,116.289089
2,143,Cainiao,北京市丰台区京开西路,Beijing,Beijing,China,39.833254,116.344271
2,144,Cainiao,北京市丰台区程庄北里19号楼,Beijing,Beijing,China,39.858811,116.27037
2,145,Cainiao,卢沟桥街道卢沟桥路五里店和光里小区15号楼菜鸟驿站,Beijing,Beijing,China,39.86576,116.264272
2,146,Cainiao,北京市石景山区鲁谷街道聚兴园小区5号楼,Beijing,Beijing,China,39.897342,116.230137
2,147,Cainiao,北京市丰台区二七车辆厂张郭庄22号楼菜鸟驿站,Beijing,Beijing,China,39.85771,116.202782
2,148,Cainiao,北京市丰台区明春东园24号楼菜鸟驿站,Beijing,Beijing,China,39.791806,116.30414
2,149,Cainiao,北京市大兴区清城南区2号楼菜鸟驿站,Beijing,Beijing,China,39.743044,116.334289
2,150,Cainiao,北京市大兴区滨河东里3号楼,Beijing,Beijing,China,39.758429,116.349054
2,151,Cainiao,北京市大兴区清源街道兴华园小区21号楼二单元菜鸟驿站,Beijing,Beijing,China,39.751774,116.340852
2,152,Cainiao,北京市大兴区黄村镇枣园东里1号楼,Beijing,Beijing,China,39.756095,116.341005
2,153,Cainiao,北京市大兴区兴丰街道黄村西大街65号阳光乐府21号楼,Beijing,Beijing,China,39.738662,116.334275
2,154,Cainiao,北京市房山区长阳镇加州水郡西区172号楼1单元101室,Beijing,Beijing,China,39.771957,116.165278
2,155,Cainiao,拱辰街道良乡东关ABC幼儿园西侧,Beijing,Beijing,China,39.737741,116.159045
2,156,Cainiao,北京市房山区S316(长虹东路),Beijing,Beijing,China,39.730425,116.144282
2,157,Cainiao,北京市房山区星城街道燕化星城健德二里16号楼菜鸟驿站,Beijing,Beijing,China,39.716128,116.071259
2,158,Cainiao,金海湖将军关新村93号小强超市,Beijing,Beijing,China,40.269116,117.327802
2,159,Cainiao,北京市密云区石桥西区26号楼,Beijing,Beijing,China,40.388632,116.873625
2,160,Cainiao,长安小区15号楼3单元,Beijing,Beijing,China,40.378015,116.848371
2,161,Cainiao,梨园镇翠屏北里东区207号楼菜鸟驿站,Beijing,Beijing,China,39.895692,116.657109
2,162,Cainiao,北京市朝阳区南磨房西大望路双龙南里220号楼底商便利超市,Beijing,Beijing,China,39.874228,116.486262
2,163,Cainiao,北京市朝阳区十八里店周庄嘉园6号院6号楼,Beijing,Beijing,China,39.865601,116.485124
2,164,Cainiao,北京市朝阳区市磨房北里小区133号楼,Beijing,Beijing,China,39.886562,116.483348
2,165,Cainiao,武圣东路松榆里社区松榆里12号楼楼下停车处,Beijing,Beijing,China,39.879083,116.478515
2,166,Cainiao,市南磨房镇御景园2号楼菜鸟驿站,Beijing,Beijing,China,39.874126,116.469099
2,167,Cainiao,北京市朝阳区北京工业大学北操场看台1层,Beijing,Beijing,China,39.882979,116.488691
2,168,Cainiao,北京市朝阳区公园路,Beijing,Beijing,China,39.857331,116.535593
2,169,Cainiao,北京市朝阳区十八里店南桥鸿博家园一期b区2号楼,Beijing,Beijing,China,39.837061,116.479278
2,170,Cainiao,北京市丰台区马家堡西里33号楼,Beijing,Beijing,China,39.858856,116.380766
2,171,Cainiao,北京市丰台区东铁匠营街道横一条甲18号院5号楼,Beijing,Beijing,China,39.856641,116.442873
2,172,Cainiao,北京市丰台区嘉园路辅路,Beijing,Beijing,China,39.855373,116.372509
2,173,Cainiao,北京市大兴区旧宫镇清逸园小区1号楼,Beijing,Beijing,China,39.809416,116.453118
2,174,Cainiao,回龙观街道龙乡中区10号楼菜鸟驿站,Beijing,Beijing,China,40.068344,116.343391
